dataset,fold,threshold,precision,recall
DBLP-ACM,0,0.71,0.9954337899543378,0.9819819819819819
DBLP-ACM,0,0.72,0.9954337899543378,0.9819819819819819
DBLP-ACM,0,0.73,0.9954233409610984,0.9797297297297297
DBLP-ACM,0,0.74,0.9954233409610984,0.9797297297297297
DBLP-ACM,0,0.75,0.9954233409610984,0.9797297297297297
DBLP-ACM,0,0.76,0.9954233409610984,0.9797297297297297
DBLP-ACM,0,0.77,0.9954233409610984,0.9797297297297297
DBLP-ACM,0,0.78,0.9954233409610984,0.9797297297297297
DBLP-ACM,0,0.79,0.9954233409610984,0.9797297297297297
DBLP-ACM,0,0.8,0.9954233409610984,0.9797297297297297
DBLP-ACM,0,0.81,0.9954233409610984,0.9797297297297297
DBLP-ACM,0,0.82,0.9954233409610984,0.9797297297297297
DBLP-ACM,0,0.83,0.9954233409610984,0.9797297297297297
DBLP-ACM,0,0.84,0.9977064220183486,0.9797297297297297
DBLP-ACM,0,0.85,0.9977064220183486,0.9797297297297297
DBLP-ACM,0,0.86,0.9977064220183486,0.9797297297297297
DBLP-ACM,0,0.87,0.9977064220183486,0.9797297297297297
DBLP-ACM,0,0.88,0.9977011494252873,0.9774774774774775
DBLP-ACM,0,0.89,0.9977011494252873,0.9774774774774775
DBLP-ACM,0,0.9,0.9977011494252873,0.9774774774774775
DBLP-ACM,0,0.91,0.9976958525345622,0.9752252252252253
DBLP-ACM,0,0.92,0.9976905311778291,0.972972972972973
DBLP-ACM,0,0.93,0.9976851851851852,0.9707207207207207
DBLP-ACM,0,0.94,0.9976689976689976,0.963963963963964
DBLP-ACM,0,0.95,0.9976580796252927,0.9594594594594594
DBLP-ACM,1,0.05,0.9708520179372198,0.981859410430839
DBLP-ACM,1,0.06,0.9708520179372198,0.981859410430839
DBLP-ACM,1,0.07,0.9708520179372198,0.981859410430839
DBLP-ACM,1,0.08,0.9708520179372198,0.981859410430839
DBLP-ACM,1,0.09,0.9730337078651685,0.981859410430839
DBLP-ACM,1,0.1,0.9730337078651685,0.981859410430839
DBLP-ACM,1,0.11,0.9730337078651685,0.981859410430839
DBLP-ACM,1,0.12,0.9730337078651685,0.981859410430839
DBLP-ACM,1,0.13,0.9752252252252253,0.981859410430839
DBLP-ACM,1,0.14,0.9752252252252253,0.981859410430839
DBLP-ACM,1,0.15,0.9752252252252253,0.981859410430839
DBLP-ACM,1,0.16,0.9752252252252253,0.981859410430839
DBLP-ACM,1,0.17,0.9752252252252253,0.981859410430839
DBLP-ACM,1,0.18,0.9752252252252253,0.981859410430839
DBLP-ACM,1,0.19,0.9752252252252253,0.981859410430839
DBLP-ACM,1,0.2,0.9752252252252253,0.981859410430839
DBLP-ACM,1,0.21,0.9752252252252253,0.981859410430839
DBLP-ACM,1,0.22,0.9752252252252253,0.981859410430839
DBLP-ACM,1,0.23,0.9752252252252253,0.981859410430839
DBLP-ACM,1,0.24,0.9752252252252253,0.981859410430839
DBLP-ACM,1,0.25,0.9752252252252253,0.981859410430839
DBLP-ACM,1,0.26,0.9752252252252253,0.981859410430839
DBLP-ACM,1,0.27,0.9796380090497737,0.981859410430839
DBLP-ACM,1,0.28,0.9796380090497737,0.981859410430839
DBLP-ACM,1,0.29,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.3,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.31,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.32,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.33,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.34,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.35,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.36,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.37,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.38,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.39,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.4,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.41,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.42,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.43,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.44,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.45,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.46,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.47,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.48,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.49,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.5,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.51,0.9863013698630136,0.9795918367346939
DBLP-ACM,1,0.52,0.9885321100917431,0.9773242630385488
DBLP-ACM,1,0.53,0.9885321100917431,0.9773242630385488
DBLP-ACM,1,0.54,0.9885321100917431,0.9773242630385488
DBLP-ACM,1,0.55,0.9885321100917431,0.9773242630385488
DBLP-ACM,1,0.56,0.9885321100917431,0.9773242630385488
DBLP-ACM,1,0.57,0.9908045977011494,0.9773242630385488
DBLP-ACM,1,0.58,0.9908045977011494,0.9773242630385488
DBLP-ACM,1,0.59,0.9908045977011494,0.9773242630385488
DBLP-ACM,1,0.6,0.9908045977011494,0.9773242630385488
DBLP-ACM,1,0.61,0.9908045977011494,0.9773242630385488
